key,name_concat,name_last,name_first,,,
117,"Geddies, Liddell",Geddies, Liddell,,,
119,"Wolfe, Herbert",Wolfe, Herbert,,,
120,"Chiese, Wilfred R",Chiese, Wilfred R,,,
121,"Douglas, Normal",Douglas, Normal,,,
122,"Bourne, David's father",Bourne, David's father,,,
123,"Naidu, Sarojini",Naidu,Sarojini,,,
124,"St Vincent Millay, Edna",St Vincent Millay,Edna,,,
125,"Powys, J C",Powys,J C,,,
126,"Lynd, Sylvia",Lynd,Sylvia,,,
149,"Lynd, Robert",Lynd,Robert,,,
127,"Hopkins, Kenneth",Hopkins,Kenneth,,,
128,"Ford, Hugh",Ford,Hugh,,,
129,Bodley House Literary Agency,Bodley House Literary Agency,,,,
130,"Vickers, V.C.",Vickers,V.C.,,,
131,"Kerr-Clark, Mairi",Kerr-Clark,Mairi,,,
132,"Clark-Kerr, Sir Archibald K.",Clark-Kerr,Sir Archibald K.,,,
133,"Cawdor, Lt. Col. Earl",Cawdor,Lt. Col. Earl,,,
134,"Abrahams, Peter",Abrahams,Peter,,,
135,", Hardy",,Hardy,,,
136,"Powys, family",Powys,family,,,
137,"Ford, Thérèse",Ford,Thérèse,,,
138,"Jones, Chris",Jones,Chris,,,
139,", Director of Melbourne National Gallery",,Director of Melbourne National Gallery,,,
140,"Senhouse, Roger",Senhouse,Roger,,,
141,"Acton, Harold",Acton,Harold,,,
142,"Hart-Davis, Rupert",Hart-Davis,Rupert,,,
143,"Budberg, Baroness",Budberg,Baroness,,,
144,"Turrell, ",Turrell,,,,
145,"Cerf, Bennet",Cerf,Bennet,,,
146,"Rota, Bertram",Rota,Bertram,,,
147,"Cunard, Lady Maud",Cunard,Lady Maud,,,
148,"Free, Lady",Free,Lady,,,
150,"Seabrooke, Elliott",Seabrooke,Elliott,,,
151,"Astin, Howard",Astin,Howard,,,
152,"Clarke, G. H.",Clarke,G. H.,,,
153,"Hunt, Violet",Hunt,Violet,,,
154,"Bergson, Henri",Bergson,Henri,,,
155,"Trier, Frank Newton",Trier,Frank Newton,,,
156,"Hadley, W. W.",Hadley,W. W.,,,
157,"Henrey, Graeme",Henrey,Graeme,,,
158,"Voltaire, ",Voltaire,,,,
159,"Plath, Sylvia",Plath,Sylvia,,,
160,"Churchill, Stella",Churchill,Stella,,,
